% Table with all audio signal features available
% for computation in Amuse. If you wish to use
% some subset of features, please create a copy
% of this file and leave only the features you
% want to extract.

@relation features

% Unique feature ID
@attribute Id numeric
% Feature description
@attribute Description string
% Minimal possible values for this feature (for normalization)
@attribute Min string
% Maximum possible values for this feature (for normalization)
@attribute Max string

@data

% Timbre features
257, "Number of different chords in 10s", "1", "10"
258, "Number of chord changes in 10s", "0", "11"
259, "Shares of the most frequent 20, 40 and 60 percents of chords with regard to their duration", "0 0 0", "1 1 1"
260, "Interval strengths estimated from 10 highest semitone peaks", "0 0 0 0 0 0 0 0 0 0 0 0", "5.3682 5.3561 7.1499 9.018 7.8568 7.5757 9.147 7.76 7.4527 6.2084 6.1028 8.64"
261, "Interval strengths estimated from the semitone peaks above 3/4 of the maximum peak", "0 0 0 0 0 0 0 0 0 0 0 0", "3.6529 3.8822 5.8381 5.94 5.566 5.2751 6.9033 4.9528 5.887 5.0024 3.6367 8.5478"
10202, "Key and its clarity", "1 0", "12 0.97441"
10203, "Major/minor alignment", "-0.40144", "0.39333"
10206, "Chroma vector - MIR Toolbox", "0 0 0 0 0 0 0 0 0 0 0 0", "1 1 1 1 1 1 1 1 1 1 1 1"
10209, "Strengths of major keys", "-0.90251 -0.93622 -0.885 -0.88529 -0.9057 -0.88251 -0.9095 -0.90669 -0.95 -0.89422 -0.88736 -0.87796", "0.9372 0.94086 0.94222 0.94529 0.96272 0.95846 0.93141 0.95778 0.91886 0.93126 0.94546 0.97441"
10210, "Strengths of minor keys", "-0.86048 -0.86636 -0.84095 -0.89525 -0.86207 -0.89003 -0.95143 -0.87896 -0.92372 -0.83416 -0.84327 -0.84191", "0.9513 0.94551 0.95415 0.95707 0.95655 0.93931 0.95052 0.95186 0.95019 0.96087 0.94237 0.94041"
10216, "Tonal centroid vector", "-2.6427 -3.0085 -2.8661 -2.8082 -1.4618 -1.2101", "2.9412 3.2306 2.785 2.8329 1.3856 1.5997"
10217, "Harmonic change detection function", "0", "4.6554"

% Tempo features
400, "Duration of music piece", "110.5502", "853.1708"
401, "Tempo", "40", "299"
402, "First relative periodicity amplitude peak", "0.0051356", "1"
405, "First periodicity peak in bpm", "40", "299"
406, "Second periodicity peak in bpm", "40", "299"
407, "Sum of correlated components", "0", "5719.8936"
410, "Characteristics of fluctuation patterns", "0 0 0 0 0 0 0", "21.4904 0.66796 2234.7453 116631.8978 7419.8166 36.3551 1.6145"
418, "Rhythmic clarity", "-0.036898", "0.85597"
420, "Estimated onset number per minute", "0", "519.104"
421, "Estimated beat number per minute", "5.7678", "230.7129"
422, "Estimated tatum number per minute", "5.7678", "571.0144"
425, "Tempo based on onset times", "60.3645", "196.8346"
427, "Five peaks of fluctuation curves summed across all bands", "0.050798 0.079165 0.15878 0.051704 0.065466", "9.0639 9.9983 9.9983 9.9353 9.7297"

% Structural features
602, "Numbers of segment changes and different segments", "4 3 0.4", "16 12 1"

% Instrument features
2000, "Guitar J48 Chord-based", "0", "1"
2001, "Guitar RF Chord-based", "0", "1"
2002, "Guitar NB Chord-based", "0", "1"
2003, "Guitar SVM Chord-based", "0", "1"
2004, "Guitar chord-based J48 non-dominated solutions", "0 0 0 0 0 0 0", "1 1 1 1 1 1 1"
2005, "Guitar chord-based RF non-dominated solutions", "0 0 0 0 0 0 0 0", "1 1 1 1 1 1 1 1"
2006, "Guitar chord-based NB non-dominated solutions", "0 0 0 0 0", "1 1 1 1 1"
2007, "Guitar chord-based SVM non-dominated solutions", "0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0", "1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
2008, "Guitar chord-based non-dominated solutions", "0 0 0 0 0 0 0 0 0 0 0 0 0 0 0", "1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
2009, "Guitar 2nd best J48 Chord-based model", "0", "1"
2010, "Guitar 2nd best RF Chord-based model", "0", "1"
2011, "Guitar 2nd best NB Chord-based model", "0", "1"
2012, "Guitar 2nd best SVM Chord-based model", "0", "1"

2020, "Piano J48 Chord-based", "0", "1"
2021, "Piano RF Chord-based", "0", "1"
2022, "Piano NB Chord-based", "0", "1"
2023, "Piano SVM Chord-based", "0", "1"
2024, "Piano chord-based J48 non-dominated solutions", "0 0 0 0 0 0", "1 1 1 1 1 1"
2025, "Piano chord-based RF non-dominated solutions", "0 0 0 0 0 0 0", "1 1 1 1 1 1 1"
2026, "Piano chord-based NB non-dominated solutions", "0 0 0 0 0 0 0 0", "1 1 1 1 1 1 1 1"
2027, "Piano chord-based SVM non-dominated solutions", "0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0", "1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
2028, "Piano chord-based non-dominated solutions", "0 0 0 0 0 0 0 0", "1 1 1 1 1 1 1 1"
2029, "Piano 2nd best J48 Chord-based model", "0", "1"
2030, "Piano 2nd best RF Chord-based model", "0", "1"
2031, "Piano 2nd best NB Chord-based model", "0", "1"
2032, "Piano 2nd best SVM Chord-based model", "0", "1"

2040, "Wind J48 Chord-based", "0", "1"
2041, "Wind RF Chord-based", "0", "1"
2042, "Wind NB Chord-based", "0", "1"
2043, "Wind SVM Chord-based", "0", "1"
2044, "Wind chord-based J48 non-dominated solutions", "0 0 0 0 0 0 0", "1 1 1 1 1 1 1"
2045, "Wind chord-based RF non-dominated solutions", "0 0 0 0 0 0 0 0 0 0 0", "1 1 1 1 1 1 1 1 1 1 1"
2046, "Wind chord-based NB non-dominated solutions", "0 0 0 0", "1 1 1 1"
2047, "Wind chord-based SVM non-dominated solutions", "0 0 0 0 0 0 0 0 0 0 0 0 0 0 0", "1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
2048, "Wind chord-based non-dominated solutions", "0 0 0 0 0 0 0 0 0 0 0 0 0 0", "1 1 1 1 1 1 1 1 1 1 1 1 1 1"
2049, "Wind 2nd best J48 Chord-based model", "0", "1"
2050, "Wind 2nd best RF Chord-based model", "0", "1"
2051, "Wind 2nd best NB Chord-based model", "0", "1"
2052, "Wind 2nd best SVM Chord-based model", "0", "1"

2060, "Strings J48 Chord-based", "0", "1"
2061, "Strings RF Chord-based", "0", "1"
2062, "Strings NB Chord-based", "0", "1"
2063, "Strings SVM Chord-based", "0", "1"
2064, "Strings chord-based J48 non-dominated solutions", "0 0 0 0", "1 1 1 1"
2065, "Strings chord-based RF non-dominated solutions", "0 0 0 0 0 0 0 0 0 0 0", "1 1 1 1 1 1 1 1 1 1 1"
2066, "Strings chord-based NB non-dominated solutions", "0 0 0 0 0 0 0 0 0 0 0", "1 1 1 1 1 1 1 1 1 1 1"
2067, "Strings chord-based SVM non-dominated solutions", "0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1", "1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1"
2068, "Strings chord-based non-dominated solutions", "0 0 0 0 0 0 0 0 0 0 0", "1 1 1 1 1 1 1 1 1 1 1"
