% Feature correlation 

@relation 'Feature correlation'

@attribute 'First feature id' numeric
@attribute 'First feature dimension' numeric
@attribute 'Second feature id' numeric
@attribute 'Second feature dimension' numeric
@attribute 'Correlation coefficient' numeric

@data
1,1,206,6,0.20379
1,1,206,7,0.21741
1,1,206,8,0.17858
1,1,206,9,0.22588
1,1,206,10,0.20037
1,1,206,11,0.18243
1,1,206,12,0.17704
1,1,207,1,0.066794
1,1,209,1,0.040272
1,1,209,2,0.053883
1,1,209,3,0.043007
1,1,209,4,0.04505
1,1,209,5,0.048832
1,1,209,6,0.047793
1,1,209,7,0.064377
1,1,209,8,0.037873
1,1,209,9,0.10418
1,1,209,10,0.047824
1,1,209,11,0.052183
1,1,209,12,0.060788
1,1,210,1,0.050701
1,1,210,2,0.085809
1,1,210,3,0.040384
1,1,210,4,0.077239
1,1,210,5,0.053461
1,1,210,6,0.045147
1,1,210,7,0.05713
1,1,210,8,0.041705
1,1,210,9,0.078043
1,1,210,10,0.047952
1,1,210,11,0.038601
1,1,210,12,0.05311
1,1,211,1,0.24878
1,1,211,2,0.36136
1,1,211,3,0.085884
1,1,212,1,0.095331
1,1,212,2,0.35695
1,1,212,3,0.066946
1,1,213,1,0.1099
1,1,213,2,0.32539
1,1,213,3,0.10463
1,1,214,1,0.1428
1,1,214,2,0.29842
1,1,214,3,0.11417
1,1,215,1,0.16481
1,1,215,2,0.28449
1,1,215,3,0.088667
1,1,216,1,0.05651
1,1,216,2,0.05782
1,1,216,3,0.040695
1,1,216,4,0.10812
1,1,216,5,0.053066
1,1,216,6,0.080461
1,1,217,1,0.082178
1,1,218,1,0.091883
1,1,218,2,0.096647
1,1,218,3,0.078941
1,1,218,4,0.090553
1,1,218,5,0.081933
1,1,218,6,0.088094
1,1,218,7,0.092177
1,1,218,8,0.081379
1,1,218,9,0.09105
1,1,218,10,0.087689
1,1,218,11,0.099285
1,1,218,12,0.093802
1,1,401,1,0.10511
1,1,402,1,0.24687
1,1,405,1,0.063486
1,1,406,1,0.042792
1,1,407,1,0.12254
1,1,410,1,0.11676
1,1,410,2,0.1094
1,1,410,3,0.19059
1,1,410,4,0.22236
1,1,410,5,0.23992
1,1,410,6,0.12771
1,1,410,7,0.1304
1,1,418,1,0.07712
1,1,420,1,0.099417
1,1,421,1,NaN
1,1,422,1,0.076777
1,1,425,1,0.067726
1,1,427,1,0.10075
1,1,427,2,0.080476
1,1,427,3,0.067699
1,1,427,4,0.068987
1,1,427,5,0.071225
1,2,1,3,0.21421
1,2,1,4,0.17509
1,2,1,5,0.14936
1,2,1,6,0.15359
1,2,1,7,0.12777
1,2,1,8,0.12998
1,2,1,9,0.12916
1,2,1,10,NaN
1,2,2,1,0.086723
1,2,2,2,0.081981
1,2,3,1,0.16456
1,2,3,2,0.20237
1,2,4,1,0.21631
1,2,6,1,0.10314
1,2,7,1,0.15019
1,2,10,1,0.10987
1,2,10,2,0.27146
1,2,14,1,0.52941
1,2,15,1,0.15834
1,2,16,1,0.75654
1,2,17,1,0.53973
1,2,18,1,0.48125
1,2,19,1,0.072533
1,2,19,2,0.17833
1,2,19,3,0.26294
1,2,19,4,0.30179
1,2,20,1,0.084601
1,2,20,2,0.21666
1,2,20,3,0.32381
1,2,20,4,0.36882
1,2,21,1,0.17108
1,2,22,1,0.16359
1,2,23,1,0.31363
1,2,24,1,0.16139
1,2,25,1,0.24308
1,2,25,2,0.16265
1,2,25,3,0.33945
1,2,25,4,0.40294
1,2,28,1,0.18812
1,2,28,2,0.21419
1,2,28,3,0.51722
1,2,28,4,0.1291
1,2,28,5,0.2576
1,2,28,6,0.11252
1,2,28,7,0.15993
1,2,28,8,0.083146
1,2,28,9,0.089822
1,2,28,10,0.064378
1,2,28,11,0.069798
1,2,28,12,0.067891
1,2,28,13,0.059036
1,2,29,1,0.23545
1,2,30,1,0.20155
1,2,31,1,0.17707
1,2,32,1,0.8366
1,2,33,1,0.29163
1,2,38,1,0.54961
1,2,38,2,0.64919
1,2,38,3,0.19201
1,2,38,4,0.22271
1,2,38,5,0.20859
1,2,38,6,0.14223
1,2,38,7,0.11784
1,2,38,8,0.13012
1,2,38,9,0.10719
1,2,38,10,0.092435
1,2,38,11,0.091613
1,2,38,12,0.080626
1,2,38,13,0.077607
1,2,38,14,0.083266
1,2,38,15,0.077729
1,2,38,16,0.071624
1,2,38,17,0.067986
1,2,38,18,0.06971
1,2,38,19,0.065163
1,2,38,20,0.062948
1,2,39,1,0.38292
1,2,39,2,0.54733
1,2,39,3,0.17342
1,2,39,4,0.30841
1,2,39,5,0.11408
1,2,39,6,0.1477
1,2,39,7,0.10112
1,2,39,8,0.098906
1,2,39,9,0.081187
1,2,39,10,0.082078
1,2,39,11,0.066678
1,2,39,12,0.082292
1,2,39,13,0.069839
1,2,40,1,0.17003
1,2,40,2,0.16905
1,2,40,3,0.14143
1,2,40,4,0.12929
1,2,40,5,0.11734
1,2,40,6,0.13622
1,2,40,7,0.14669
1,2,40,8,0.16748
1,2,40,9,0.16782
1,2,40,10,0.16633
1,2,40,11,0.17267
1,2,40,12,0.16584
1,2,40,13,0.17449
1,2,40,14,0.16485
1,2,40,15,0.17358
1,2,40,16,0.16825
1,2,40,17,0.16591
1,2,40,18,0.18452
1,2,40,19,0.24612
1,2,40,20,0.31655
1,2,40,21,0.3985
1,2,40,22,0.45905
1,2,40,23,0.47557
1,2,41,1,0.20524
1,2,41,2,0.21565
1,2,41,3,0.22466
1,2,41,4,0.14666
1,2,41,5,0.19096
1,2,41,6,0.20477
1,2,41,7,0.22169
1,2,41,8,0.14572
1,2,42,1,0.13254
1,2,42,2,0.15387
1,2,42,3,0.18186
1,2,42,4,0.21499
1,2,42,5,0.17302
1,2,42,6,0.10333
1,2,42,7,0.1244
1,2,42,8,0.15865
1,2,42,9,0.20258
1,2,42,10,0.16542
1,2,60,1,0.066112
1,2,60,2,0.079092
1,2,60,3,0.092445
1,2,60,4,0.087582
1,2,60,5,0.081567
1,2,60,6,0.081119
1,2,60,7,0.086651
1,2,60,8,0.11555
1,2,60,9,0.13995
1,2,60,10,0.12477
1,2,61,1,0.13828
1,2,61,2,0.17192
1,2,61,3,0.12457
1,2,61,4,0.14975
1,2,61,5,0.18984
1,2,61,6,0.19834
1,2,61,7,0.18959
1,2,61,8,0.17696
1,2,61,9,0.26326
1,2,61,10,0.43196
1,2,62,1,0.035819
1,2,62,2,0.039641
1,2,62,3,0.044719
1,2,62,4,0.049561
1,2,62,5,0.058399
1,2,62,6,0.066283
1,2,62,7,0.11429
1,2,62,8,0.26732
1,2,62,9,0.49734
1,2,62,10,0.46523
1,2,200,1,0.19472
1,2,201,1,0.27163
1,2,202,1,0.038814
1,2,202,2,0.11002
1,2,203,1,0.044015
1,2,204,1,0.17743
1,2,204,2,0.1926
1,2,204,3,0.19962
1,2,204,4,0.21527
1,2,204,5,0.21991
1,2,204,6,0.20319
1,2,204,7,0.2688
1,2,204,8,0.22932
1,2,204,9,0.21061
1,2,204,10,0.16726
1,2,204,11,0.17031
1,2,204,12,0.17679
1,2,204,13,0.15315
1,2,204,14,0.11002
1,2,204,15,0.1302
1,2,204,16,0.099241
1,2,204,17,0.12445
1,2,204,18,0.105
1,2,204,19,0.2941
1,2,204,20,0.14874
1,2,204,21,0.17558
1,2,204,22,0.15047
1,2,204,23,0.17787
1,2,204,24,0.12522
1,2,205,1,0.19388
1,2,206,1,0.11972
1,2,206,2,0.11997
1,2,206,3,0.1122
1,2,206,4,0.11985
1,2,206,5,0.11372
1,2,206,6,0.11815
1,2,206,7,0.12218
1,2,206,8,0.12455
1,2,206,9,0.15312
1,2,206,10,0.13828
1,2,206,11,0.13567
1,2,206,12,0.12727
1,2,207,1,0.083443
1,2,209,1,0.057016
1,2,209,2,0.06269
1,2,209,3,0.060103
1,2,209,4,0.058729
1,2,209,5,0.063544
1,2,209,6,0.060334
1,2,209,7,0.067711
1,2,209,8,0.058724
1,2,209,9,0.079292
1,2,209,10,0.061426
1,2,209,11,0.059755
1,2,209,12,0.062193
1,2,210,1,0.056285
1,2,210,2,0.069467
1,2,210,3,0.053078
1,2,210,4,0.072666
1,2,210,5,0.060058
1,2,210,6,0.059997
1,2,210,7,0.058317
1,2,210,8,0.057697
1,2,210,9,0.070153
1,2,210,10,0.062901
1,2,210,11,0.056233
1,2,210,12,0.060412
1,2,211,1,0.19388
1,2,211,2,0.2374
1,2,211,3,0.081288
1,2,212,1,0.21375
1,2,212,2,0.15923
1,2,212,3,0.10983
1,2,213,1,0.21379
1,2,213,2,0.2845
1,2,213,3,0.088706
1,2,214,1,0.18253
1,2,214,2,0.32867
1,2,214,3,0.050952
1,2,215,1,0.15333
1,2,215,2,0.32734
1,2,215,3,0.060974
1,2,216,1,0.087913
1,2,216,2,0.086523
1,2,216,3,0.05779
1,2,216,4,0.069682
1,2,216,5,0.050598
1,2,216,6,0.057006
1,2,217,1,0.075035
1,2,218,1,0.092606
1,2,218,2,0.093941
1,2,218,3,0.093249
1,2,218,4,0.097919
1,2,218,5,0.09561
1,2,218,6,0.09781
1,2,218,7,0.094776
1,2,218,8,0.090326
1,2,218,9,0.097086
1,2,218,10,0.097269
1,2,218,11,0.10317
1,2,218,12,0.092621
1,2,401,1,0.081255
1,2,402,1,0.1428
1,2,405,1,0.047311
1,2,406,1,0.026492
1,2,407,1,0.16955
1,2,410,1,0.113
1,2,410,2,0.12027
1,2,410,3,0.13431
1,2,410,4,0.14813
1,2,410,5,0.12173
1,2,410,6,0.11622
1,2,410,7,0.13936
1,2,418,1,0.10533
1,2,420,1,0.14679
1,2,421,1,NaN
1,2,422,1,0.11318
1,2,425,1,0.072804
1,2,427,1,0.11452
1,2,427,2,0.086819
1,2,427,3,0.076676
1,2,427,4,0.077363
1,2,427,5,0.082405
1,3,1,4,0.25376
1,3,1,5,0.16123
1,3,1,6,0.13977
1,3,1,7,0.13251
1,3,1,8,0.12354
1,3,1,9,0.11743
1,3,1,10,NaN
1,3,2,1,0.075198
1,3,2,2,0.079379
1,3,3,1,0.2787
1,3,3,2,0.16826
1,3,4,1,0.1391
1,3,6,1,0.079744
1,3,7,1,0.15348
1,3,10,1,0.1481
1,3,10,2,0.22183
1,3,14,1,0.30475
1,3,15,1,0.091649
1,3,16,1,0.31449
1,3,17,1,0.3752
1,3,18,1,0.28133
1,3,19,1,0.071116
1,3,19,2,0.11564
1,3,19,3,0.13427
1,3,19,4,0.12352
1,3,20,1,0.08048
1,3,20,2,0.13273
1,3,20,3,0.15118
1,3,20,4,0.16113
1,3,21,1,0.25297
1,3,22,1,0.10121
1,3,23,1,0.3736
1,3,24,1,0.13524
1,3,25,1,0.27956
1,3,25,2,0.27475
1,3,25,3,0.21151
1,3,25,4,0.14313
1,3,28,1,0.1274
1,3,28,2,0.37077
1,3,28,3,0.22744
1,3,28,4,0.14368
1,3,28,5,0.13031
1,3,28,6,0.083942
1,3,28,7,0.089242
1,3,28,8,0.076561
1,3,28,9,0.080928
1,3,28,10,0.074151
1,3,28,11,0.067042
1,3,28,12,0.067276
1,3,28,13,0.061629
1,3,29,1,0.1725
1,3,30,1,0.16505
1,3,31,1,0.10987
1,3,32,1,0.20975
1,3,33,1,0.2591
1,3,38,1,0.28253
1,3,38,2,0.31574
1,3,38,3,0.39281
1,3,38,4,0.15689
1,3,38,5,0.17662
1,3,38,6,0.098939
1,3,38,7,0.10023
1,3,38,8,0.087567
1,3,38,9,0.087672
1,3,38,10,0.082798
1,3,38,11,0.080785
1,3,38,12,0.073706
1,3,38,13,0.078898
1,3,38,14,0.07131
1,3,38,15,0.06967
1,3,38,16,0.066534
1,3,38,17,0.066259
1,3,38,18,0.067688
1,3,38,19,0.067683
1,3,38,20,0.068127
1,3,39,1,0.37826
1,3,39,2,0.23341
1,3,39,3,0.18078
1,3,39,4,0.15679
1,3,39,5,0.11248
1,3,39,6,0.10096
1,3,39,7,0.098948
1,3,39,8,0.077338
1,3,39,9,0.075135
1,3,39,10,0.065513
1,3,39,11,0.063267
1,3,39,12,0.069882
1,3,39,13,0.068299
1,3,40,1,0.1029
1,3,40,2,0.10249
1,3,40,3,0.095863
1,3,40,4,0.1018
1,3,40,5,0.099774
1,3,40,6,0.11095
1,3,40,7,0.11568
1,3,40,8,0.12903
1,3,40,9,0.1342
1,3,40,10,0.13388
1,3,40,11,0.14276
1,3,40,12,0.14819
1,3,40,13,0.16706
1,3,40,14,0.18014
1,3,40,15,0.2027
1,3,40,16,0.21844
1,3,40,17,0.24165
1,3,40,18,0.26478
1,3,40,19,0.26971
1,3,40,20,0.25744
